EntanglementId,EGNo,EventNo,StartDate,EndDate,EntanglementComment
154,1241,1,9/20/1982,09/12/1983,1 year old female; < 1year timeframe; MINOR
155,1245,1,01/01/1900,08/02/1982,Calf female; < 1 year timeframe; MINOR
156,1245,2,9/20/1982,4/21/1983,1 year old female; < 9 month timeframe; MINOR
157,1245,3,9/21/1994,7/30/1995,13 year old female; < 1 year timeframe; MINOR
159,1246,1,01/01/1900,7/24/1982,Adult female; unknown timeframe; MINOR
162,1247,1,09/08/1982,9/16/1983,1 year old male; < 11 month timeframe; MINOR
163,1247,2,9/25/1992,9/21/1994,12 year old male; < 2 year timeframe; GEAR; SEVERE
164,1249,1,9/27/1994,7/28/1995,13 year old male; < 11 month timeframe; MINOR
166,1250,1,8/20/1999,7/26/2000,18 year old male; < 1 year timeframe; MINOR
167,1254,1,01/01/1900,8/26/1981,Unknown age female; unknown timeframe; MINOR
168,1259,1,01/01/1900,4/27/1981,Unknown age male; unknown timeframe; MINOR
169,1266,1,9/25/1988,7/22/1990,Adult female; < 2 year timeframe; SEVERE
170,1267,1,01/01/1900,08/11/1983,1 year old female; < 2 year timeframe; MINOR
171,1271,1,01/01/1900,08/07/1994,Adult male; unknown timeframe; MINOR
172,1272,1,8/19/1982,09/08/1987,Unknown age male; > 3 year timeframe; MINOR
173,1272,2,9/25/1987,10/07/1996,Adult male; > 3 year timeframe; MINOR
174,1272,3,10/07/1996,5/23/2002,Adult male; > 3 year timeframe; MINOR
175,1281,1,10/01/1989,10/23/1992,Adult female; > 3 year timeframe; MINOR
176,1283,1,8/30/1993,07/06/1997,Adult male; > 3 year timeframe; MINOR
177,1283,2,8/13/1997,7/13/1999,Adult male; < 2 year timeframe; MINOR
178,1301,1,09/12/1983,9/25/1983,Calf female; < 1 month timeframe; MINOR
179,1301,2,7/21/1999,3/23/2000,17 year old female; < 9 month timeframe; MINOR
180,1303,1,4/28/1983,7/26/1984,Unknown age female; < 2 year timeframe; MINOR
181,1304,1,09/02/1999,05/12/2002,"Adult, unknown sex; < 3 year timeframe; MINOR"
182,1306,1,05/01/1983,5/15/1983,Unknown age male; < 1 month timeframe; GEAR; MINOR
183,1306,2,9/30/1983,08/10/1985,Unknown age male; < 2 year timeframe; MINOR
184,1306,3,9/25/1992,7/30/1994,Adult male; < 2 year timeframe; MINOR
185,1307,1,01/01/1900,09/05/1986,Adult male; unknown timeframe; MINOR
186,1307,2,08/10/1995,08/04/1996,Adult male; < 1 year timeframe; MINOR
187,1308,1,9/30/1983,09/06/1984,1 year old female; < 1 year timeframe; GEAR; MINOR
188,1308,2,8/23/1986,8/13/1993,10 year old female; > 3 year timeframe; MINOR
189,1308,3,09/02/1995,8/27/1996,13 year old female; < 1 year timeframe; MODERATE
